ID,latitude,longitude,Ocean,Realm,Ecoregion,Country_Name,State_Island_Province,City_Town,City_Town_2,City_Town_3,Date,Date2,depth,Average_Bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean
unitless,degrees_north,degrees_east,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,unitless,m,percent,Degrees Celsius,Kelvin,Degree Celsius,Degree Celsius,Degree Celsius,Kelvin,meters per hour,Degree Celsius,Degree Celsius,Degree Celsius,Degree Celsius,Degree Celsius,SSTA per time period,SSTA per time period,SSTA per time period,SSTA per time period,Weeks,Weeks,Weeks,Weeks,Degree Celsius,Degree Celsius,Degree Celsius,Degree Celsius,Degree Celsius,TSA per time period,TSA per time period,TSA per time period,TSA per time period,Weeks,Weeks,Weeks,Weeks
97,-20.89983333,149.4077222,Pacific,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,Keswick Island,,,3/26/2016,20160326,4,6.25,297.78,301.67,298.17,291.91,303.85,2.74,5,1.32,0.87,0,-3.21,2.83,12,5.49,26,6,3.96,3.13,19.88,2.18,0.23,2.74,-9.52,2.4,-3.26,3,1.95,7,1,3.52,1.36,8.43,0.52
98,-20.89305556,149.421,Pacific,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,Keswick Island,,,3/26/2016,20160326,5,8.75,297.78,301.67,298.17,291.91,303.85,2.74,5,1.32,0.87,0,-3.21,2.83,12,5.49,26,6,3.96,3.13,19.88,2.18,0.23,2.74,-9.52,2.4,-3.26,3,1.95,7,1,3.52,1.36,8.43,0.52
116,-20.74580556,149.4720556,Pacific,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,Wigton Island,Wigton Island Reef,,3/27/2016,20160327,6,11.25,298.17,301.38,298.34,292.67,303.76,2.57,5,0.87,0.82,0,-2.701111111,2.6,10,5.67,27,5,2.68,3.14,18.95,1.97,-0.03,2.57,-8.73,2.34,-3.06,1,1.47,5,1,1.51,1.23,7.32,0.49
117,-20.73769444,149.4649444,Pacific,Central Indo-Pacific,Southern Great Barrier Reef,Australia,Queensland,Wigton Island,Wigton Island Reef,,3/27/2016,20160327,5,25,298.21,301.56,298.37,292.01,304.04,2.52,5,1.07,0.81,0,-2.803333333,3.44,8,5.27,25,5,3.65,2.89,18.05,1.86,0.17,2.52,-9.38,2.64,-3.01,2,1.31,5,1,2.36,0.97,6.86,0.36
142,-20.25936111,148.8145833,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Mount Rooper,Daydream Island,,8/6/2017,20170806,2,1,296.48,296.38,298.47,291.83,304.54,2.7,4,1.76,0.93,0,-3.268571429,3.15,17,6.12,30,7,3.84,3.56,21.17,2.54,-5.34,2.7,-9.88,2.81,-3.23,4,1.72,7,1,0,1.47,9.84,0.56
145,-20.25255556,148.8129167,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Mount Rooper,Daydream Island,,8/6/2017,20170806,2,33.75,296.48,296.38,298.47,291.83,304.54,2.7,4,1.76,0.93,0,-3.268571429,3.15,17,6.12,30,7,3.84,3.56,21.17,2.54,-5.34,2.7,-9.88,2.81,-3.23,4,1.72,7,1,0,1.47,9.84,0.56
155,-20.06580556,148.9481111,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Whitsundays,Hook Island,Luncheon Bay,4/23/2016,20160423,7,9.25,298.77,299.31,298.68,293.39,304.04,2.43,7,0.56,2.42,0,-3.60875,5.48,24,3.47,30,20,38.18,13.17,45.45,11.76,0.49,2.43,-5.42,5.21,-0.13,24,3.52,30,19,35.64,12.31,42.81,10.92
158,-20.039,148.8758333,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Whitsundays,Hayman Island,,4/23/2016,20160423,4,40,296.79,299.88,298.69,292.94,304.3,2.48,7,0.43,0.88,0,-3.38,3.29,14,6.08,29,6,7.37,3.33,21.97,2.18,-1.75,2.48,-8.68,2.66,-2.93,4,2.01,8,1,4.83,1.6,10.99,0.61
166,-19.81777778,149.0658056,Pacific,Central Indo-Pacific,Central and northern Great Barrier Reef,Australia,Queensland,Bait Reef,,,5/28/2016,20160528,5,9.5,295.74,299.34,298.72,292.92,304.14,2.23,5,1.73,0.77,0,-3.623333333,3.8,8,5.14,24,4,6.27,2.77,18.72,1.59,-2.1,2.23,-8.51,2.7,-2.71,3,1.3,5,1,0,1.01,6.9,0.34
